theme,date,view,num
['招聘博士/副研究员年薪45万+，博士后30万+/深圳职业技术学院'],['2022-01-04'],['34'],['0']
['西南医科大学2022年诚聘海内外英才'],['2022-01-04'],['22'],['0']
['台州学院高等研究院大数据智能医疗研究所招聘启事'],['2022-01-04'],['19'],['0']
['深圳大学食品科学与加工研究中心吴奇院士团队招聘博士后公告'],['2022-01-04'],['19'],['0']
['2022年南通市通州区公开选调优秀青年人才简章'],['2022-01-04'],['151'],['0']
['重磅来袭，百万揽才｜巢湖学院2021-2022年人才引进公告'],['2022-01-04'],['87'],['0']
['南方科技大学电子系Aung Ko Ko Kyaw课题组招收材料研发实习生启事'],['2022-01-04'],['65'],['0']
['烟台先进材料与绿色制造山东省实验室2021年公开招聘工作人员简章'],['2022-01-04'],['52'],['0']
['湘潭大学2021年诚聘海内外人才'],['2022-01-04'],['53'],['0']
['烟台东方威思顿电气有限公司2022届校园招聘简章'],['2022-01-04'],['44'],['0']
['四川轻化工大学2022年人才引进政策'],['2022-01-03'],['131'],['0']
['2022年潍坊市“才聚鸢都·博士潍坊行”暨潍坊学院第五届博士“鸢都行”活动的通知'],['2022-01-02'],['335'],['0']
['常州工学院2021-2022年人才招聘'],['2022-01-02'],['301'],['0']
['成都航空职业技术学院2022年人才（硕士、博士）招聘公告'],['2021-12-31'],['525'],['0']
['渤海大学长年诚聘博士及在读博士'],['2021-12-31'],['355'],['0']
['中共河北省委党校（河北行政学院）2021年诚聘英才'],['2021-12-31'],['315'],['0']
['中国地震局地球物理研究所高层次人才引进公告'],['2021-12-31'],['334'],['0']
['深部岩土力学国家重点实验室诚聘博士'],['2021-12-30'],['376'],['0']
['浪潮集团2022届校园招聘秋招补招'],['2021-12-30'],['404'],['0']
['广东机电职业技术学院、广东省博士工作站2022年博士研究生招聘公告'],['2021-12-30'],['302'],['0']
['南通大学电气工程学院诚聘海内外英才'],['2021-12-30'],['310'],['0']
['中国科学院长春应用化学研究所2022年度招聘启事'],['2021-12-30'],['282'],['0']
['河北农业大学2022年选聘博士公告'],['2021-12-30'],['267'],['0']
['中国科学院微生物所病毒感染与免疫相关博士后岗招聘'],['2021-12-30'],['265'],['0']
['中国水产科学研究院黄海水产研究所2022年公开招聘工作人员公告'],['2021-12-30'],['256'],['0']
['浙江大学机械设计研究所2021年招聘副研究员、博士后'],['2021-12-30'],['260'],['0']
['2022年春季全国研究生专场巡回招聘会暨国防军工类 专场招聘会——电子科技大学站'],['2021-12-30'],['161'],['0']
['2021年吉利学院冬季校园招聘'],['2021-12-30'],['120'],['0']
['格力电器2022届春季校园招聘提前批'],['2021-12-30'],['94'],['0']
['启明信息技术股份有限公司2022年校园招聘简章'],['2021-12-30'],['87'],['0']
['广东省智能科学与技术研究院2021年招聘公告'],['2021-12-30'],['71'],['0']
['航天行云（航天科工四院卫星总体单位）2022年度校园招聘'],['2021-12-29'],['336'],['0']
['西安电子科技大学期刊中心2022年其他专技岗位招聘公告'],['2021-12-29'],['159'],['0']
['重庆邮电大学2022年招聘启事'],['2021-12-29'],['129'],['0']
['中国热带农业科学院南亚热带作物研究所 湛江实验站2022年第一批公开招聘工作人员公告（第1号）'],['2021-12-29'],['54'],['0']
['深圳市坪山区科技创新局生物医药类专业特聘博士招聘公告'],['2021-12-29'],['52'],['0']
['清华大学材料课题组招聘热电/热障/结构陶瓷博士后'],['2021-12-29'],['46'],['0']
['中国热带农业科学院公开招聘公告'],['2021-12-29'],['39'],['0']
['山西医科大学刘鹏教授课题组招聘研究员、博士后、科研助理等研究人员'],['2021-12-29'],['43'],['0']
['山东省科技发展战略研究所2022年人才招聘'],['2021-12-29'],['48'],['0']
['西安电子科技大学空间科学与技术学院2021年教师岗位招聘启事'],['2021-12-29'],['61'],['0']
['海南医学院2021-2022学年博士及硕士高级职称人才公开招聘公告'],['2021-12-28'],['134'],['0']
['中国天辰工程有限公司2022年校园招聘'],['2021-12-28'],['138'],['0']
['武汉东湖学院高层次（高学历）人才招聘公告'],['2021-12-28'],['63'],['0']
['厦门工学院2022年海内外高层次人才招聘启事'],['2021-12-28'],['60'],['0']
['山东省科学院海洋仪器仪表研究所齐鲁工业大学（山东省科学院）海洋技术科学学院招聘信息'],['2021-12-28'],['52'],['0']
['苏州系统医学研究所2022年招聘'],['2021-12-28'],['77'],['0']
['江苏科技大学2022年诚聘海内外优秀人才'],['2021-12-28'],['82'],['0']
['中科南京智能技术研究院招聘简章'],['2021-12-28'],['66'],['0']
['中国铝业集团有限公司 2022年应届高校毕业生招聘公告'],['2021-12-28'],['70'],['0']
['长三角腹地-常州工学院2021年人才招聘启事'],['2021-12-27'],['99'],['0']
['浙江师范大学2021年专任教师招聘公告'],['2021-12-27'],['88'],['0']
['深圳大学广东省海洋藻类开发与应用工程重点实验室博士后招聘'],['2021-12-27'],['57'],['0']
['西南医科大学2022年诚聘海内外英才'],['2021-12-27'],['75'],['0']
['南方医科大学南方医院—杰青团队博士后招聘'],['2021-12-27'],['45'],['0']
['烟台东方威思顿电气有限公司2022届校园招聘简章'],['2021-12-27'],['64'],['0']
['中国科学院国家空间科学中心2022年应届生招聘启事'],['2021-12-27'],['97'],['0']
['中国科学院国家空间科学中心2022年特别研究助理招聘启事'],['2021-12-27'],['69'],['0']
['OPPO日常实习生招聘-应用测试实习生(成都）'],['2021-12-27'],['72'],['0']
['吉林外国语大学2022年面向海内外招聘人才公告'],['2021-12-26'],['73'],['0']
['中国水产科学研究院珠江水产研究所2022年公开招聘公告'],['2021-12-25'],['253'],['0']
['山东大学生态环境损害鉴定研究院2022年诚聘海内外优秀人才'],['2021-12-25'],['149'],['0']
['2022年杭州市钱塘区党政储备 人才招聘公告'],['2021-12-24'],['278'],['0']
['中国石油大学（北京）克拉玛依校区 2022年度招聘简章'],['2021-12-24'],['193'],['0']
['中关村发展集团2022年校园招聘及博士后招聘公告'],['2021-12-24'],['167'],['0']
['北京工业大学先进电池材料与器件研究所（尉海军教授课题组）2021-2022年人才招聘'],['2021-12-24'],['153'],['0']
['广东机电职业技术学院、广东省博士工作站2022年博士研究生招聘公告'],['2021-12-24'],['135'],['0']
['中国科学院长春应用化学研究所2022年度招聘启事'],['2021-12-24'],['118'],['0']
['南通大学电气工程学院诚聘海内外英才'],['2021-12-24'],['121'],['0']
['闽江学院2021下半年度高层次人才招聘公告'],['2021-12-24'],['110'],['0']
['河北农业大学2022年选聘博士公告'],['2021-12-24'],['110'],['0']
['深圳综合粒子设施研究院校园招聘公告'],['2021-12-24'],['125'],['0']
['仰恩大学2021年招聘启事'],['2021-12-24'],['132'],['0']
['南科大电子与电气工程系丛龙庆课题组高薪诚聘博士后'],['2021-12-24'],['112'],['0']
['中国电子科技集团公司第九研究所2021-2022年校园招聘'],['2021-12-23'],['463'],['0']
['中科院兰州化物所2022年人才招聘启事'],['2021-12-23'],['168'],['0']
['中山大学土木工程学院2021年诚聘海内外英才'],['2021-12-23'],['97'],['0']
['天津大学“生物信息测量与生物制造实验室”诚聘英才'],['2021-12-23'],['81'],['0']
['中共安徽省委党校（安徽行政学院） 2021年度公开招聘博士公告'],['2021-12-23'],['95'],['0']
['中国电子科技集团公司第十一研究所招聘'],['2021-12-23'],['151'],['0']
['南科大电子与电气工程系张宏课题组高薪诚聘博士后'],['2021-12-23'],['71'],['0']
['淮阴工学院2021年人才招聘政策及计划'],['2021-12-22'],['104'],['0']
['不负韶华 共筑梦想-枣庄学院2021年人才招聘启事'],['2021-12-22'],['92'],['0']
['中国船舶第八研究院（扬州院区·原七二三所）诚聘人才公告'],['2021-12-22'],['156'],['0']
['中铁信托博士后创新实践基地2022年招收博士后研究人员招收简章'],['2021-12-22'],['83'],['0']
['北京航空航天大学虚拟现实技术与系统国家重点实验室2021年专职工程师招聘公告'],['2021-12-22'],['110'],['0']
['嘉应学院2022年人才招聘启事'],['2021-12-22'],['65'],['0']
['重庆工程学院2022年高层次人才招聘简章'],['2021-12-22'],['92'],['0']
['重庆邮电大学2022年招聘启事'],['2021-12-22'],['101'],['0']
['中国热带农业科学院南亚热带作物研究所 湛江实验站 2022年第一批公开招聘工作人员公告（第1号）'],['2021-12-22'],['45'],['0']
['2021下半年浙江农林大学招聘公告'],['2021-12-22'],['46'],['0']
['材料科学姑苏实验室博士后招聘公告'],['2021-12-22'],['45'],['0']
['浙江大学王绪化团队招聘博士后和科研助理'],['2021-12-22'],['39'],['0']
['福建工程学院2022年师资招聘计划'],['2021-12-22'],['54'],['0']
['2022安科瑞电气招聘简章'],['2021-12-22'],['71'],['0']
['华夏银行成都分行2022年校园招聘启事'],['2021-12-22'],['197'],['0']
['南方科技大学自动化学科青年学者论坛·2022'],['2021-12-22'],['45'],['0']
['大华股份2022届校招补招末班车'],['2021-12-21'],['199'],['0']
['湖南省融资担保集团2022校园招聘简章'],['2021-12-21'],['72'],['0']
['福州大学博士后科研流动站2022年人才招聘计划'],['2021-12-21'],['64'],['0']
['行业第一，宇通集团2022年应届毕业生管培生招聘简章'],['2021-12-21'],['89'],['0']
['武汉东湖学院高层次（高学历）人才招聘公告'],['2021-12-21'],['67'],['0']
['山东省科学院海洋仪器仪表研究所齐鲁工业大学（山东省科学院）海洋技术科学学院招聘'],['2021-12-21'],['53'],['0']
['南方科技大学第一附属医院医药健康科研团队博士后、研究助理及科研秘书招聘'],['2021-12-21'],['51'],['0']
['国家超级计算深圳中心2021年招聘简章'],['2021-12-21'],['74'],['0']
['中山大学软件工程学院2022年高层次人才招聘启事'],['2021-12-21'],['44'],['0']
['上海交通大学微纳工程科学重点实验室2021-2022年招聘简章'],['2021-12-21'],['40'],['0']
['澳门城市大学全職學術人員招聘'],['2021-12-21'],['50'],['0']
['安徽师范大学2021年度人才招聘公告'],['2021-12-21'],['42'],['0']
['浙江越秀外国语学院2021年高层次人才引进公告'],['2021-12-21'],['36'],['0']
['南方科技大学电子与电气工程系张宏课题组招收科研助理启事'],['2021-12-21'],['42'],['0']
['潍坊科技学院人才招聘'],['2021-12-21'],['45'],['0']
['南宁职业技术学院2021年第二批公开招聘工作人员公告'],['2021-12-20'],['75'],['0']
"['深圳大学食品科学与加工研究中吴奇院士团队招聘博士后公告（分子生物学, 高分子，化学工程和食品专业）']",['2021-12-20'],['42'],['0']
['台州学院高等研究院大数据智能医疗研究所招聘启事'],['2021-12-20'],['58'],['0']
['广州华夏职业学院2022年招聘公告'],['2021-12-20'],['63'],['0']
['西南医科大学2022年诚聘海内外英才'],['2021-12-20'],['64'],['0']
['深圳综合粒子设施研究院校园招聘公告'],['2021-12-20'],['68'],['0']
['桂林医学院2022年诚聘英才'],['2021-12-20'],['41'],['0']
['衢州职业技术学院高层次人才引进公告'],['2021-12-20'],['47'],['0']
['浙江工业大学之江学院2021年高层次人才招聘公告'],['2021-12-20'],['55'],['0']
['南方科技大学电子与电气工程系实验教学类招聘启事'],['2021-12-20'],['49'],['0']
['烟台东方威思顿电气有限公司2022届校园招聘简章'],['2021-12-20'],['48'],['0']
['立德树人育桃李 砥砺前行谱新篇-潍坊医学院2021-2022年诚聘海内外优秀博士'],['2021-12-19'],['57'],['0']
['桂林理工大学2021年诚聘海内外人才'],['2021-12-19'],['85'],['0']
['广西师范大学2021年人才招聘公告'],['2021-12-19'],['71'],['0']
['中国科学院新疆理化技术研究所2021年人才招聘启事'],['2021-12-19'],['65'],['0']
['攀枝花学院2021年第五批直接考核招聘高层次人才公告'],['2021-12-18'],['77'],['0']
['行业第一，宇通集团2022年应届毕业生管培生招聘简章'],['2021-12-17'],['161'],['0']
['河北农业大学2022年选聘博士公告'],['2021-12-17'],['62'],['0']
['闽江学院2022下半年度硕士研究生岗位（编制内）招聘公告'],['2021-12-17'],['68'],['0']
['南通大学电气工程学院诚聘海内外英才'],['2021-12-17'],['53'],['0']
['中国科学院长春应用化学研究所2022年度招聘启事'],['2021-12-17'],['54'],['0']
['暨南大学附属第一医院最高年薪66万+招聘博士后'],['2021-12-17'],['46'],['0']
['广东机电职业技术学院、广东省博士工作站2022年博士研究生招聘公告'],['2021-12-17'],['43'],['0']
['国科宁波生命与健康产业研究院2021年面向海内外诚聘高层次人才'],['2021-12-17'],['35'],['0']
['中国科学院成都文献情报中心2022年特别研究助理招聘启事'],['2021-12-17'],['86'],['0']
['内蒙古科技大学机械工程学院博（硕）士及高层次人才招聘'],['2021-12-17'],['41'],['0']
['国资委直管央企华录集团总部2022年校园招聘'],['2021-12-17'],['120'],['0']
['南方科技大学林志赟教授课题组招聘科研助理'],['2021-12-17'],['41'],['0']
['北京国望“科研、管理工程师”招募'],['2021-12-17'],['48'],['0']
['中国科学院成都文献情报中心2022年优秀人才招聘启事'],['2021-12-17'],['64'],['0']
['中共深圳市光明区委党校2022年1月公开选聘教师公告'],['2021-12-16'],['94'],['0']
['深圳大学-华中科技大学光子集成与光通信方向联合招聘博士后'],['2021-12-16'],['66'],['0']
['重庆邮电大学高层次人才招聘'],['2021-12-16'],['116'],['0']
['东南大学脑科学与智能技术研究院招聘启事'],['2021-12-16'],['68'],['0']
['绵阳仲裁委员会秘书处2022年度招聘公告'],['2021-12-16'],['88'],['0']
['山西工商学院2022年人才引进公告'],['2021-12-16'],['47'],['0']
['中国网安（含中国电科三十所）2022届秋招补录'],['2021-12-16'],['140'],['0']
['广东电网有限责任公司2022年博士后人员招聘启事'],['2021-12-16'],['118'],['0']
['中国石化大连石油化工研究院全球招聘人才公告'],['2021-12-15'],['79'],['0']
['中科南京智能技术研究院招聘简章'],['2021-12-15'],['132'],['0']
['济宁医学院附属医院2022年度公开招聘博士研究生公告'],['2021-12-15'],['51'],['0']
['中国久远高新技术装备有限公司2022招聘简章'],['2021-12-15'],['125'],['0']
['上海人工智能实验室招聘公告'],['2021-12-15'],['106'],['0']
['超星集团秋季校园招聘'],['2021-12-14'],['169'],['0']
['青岛大学青岛医学院2021年人才招聘公告'],['2021-12-14'],['59'],['0']
['2022威高（苏州）医疗器械研究院有限公司秋季招聘'],['2021-12-14'],['62'],['0']
['美国路易斯安那州立大学医学院招聘博士后'],['2021-12-14'],['57'],['0']
['中国石化上海石油化工研究院2021-2022年度人才招聘'],['2021-12-14'],['82'],['0']
['中国电子科技集团公司第十二研究所招聘'],['2021-12-14'],['252'],['0']
['中国工程物理研究院 研究生院诚聘英才'],['2021-12-14'],['146'],['0']
['剑阁县2021年公开引进高层次人才和招聘急需紧缺专业人才（剑阁县市场监督管理局）'],['2021-12-14'],['110'],['0']
['南方科技大学计算机科学与工程系2022年实验教学人员招聘启事'],['2021-12-14'],['60'],['0']
['鹏城实验室媒体与交互部2021年招聘人才引进专题'],['2021-12-14'],['56'],['0']
['西安建筑科技大学2021年教师招聘公告'],['2021-12-14'],['52'],['0']
['南方科技大学嘉兴研究院“智能电子装备创新中心”公开招聘研究人员'],['2021-12-14'],['47'],['0']
['青岛大学转化医学研究院高薪诚聘海内外优秀青年人才'],['2021-12-13'],['45'],['0']
['ASM先进科技2022校园招聘补录'],['2021-12-13'],['225'],['0']
['加入“浙”里 携手共进-绍兴文理学院2021-2022年诚聘海内外英才'],['2021-12-13'],['62'],['0']
['台州学院高等研究院——智能信息处理研究所招聘启事'],['2021-12-13'],['69'],['0']
['深圳大学广东省海洋藻类开发与应用工程重点实验室博士后招聘'],['2021-12-13'],['43'],['0']
['重庆大学二级单位招聘项目管理人员'],['2021-12-13'],['90'],['0']
['2022年杭州市钱塘区党政储备 人才招聘公告'],['2021-12-13'],['63'],['0']
['广西电力职业技术学院2021年博士人才专项招聘公告'],['2021-12-13'],['73'],['0']
['烟台东方威思顿电气有限公司2022届校园招聘简章'],['2021-12-13'],['51'],['0']
['揽英才 金陵科技学院招才引智 诚邀您的加盟'],['2021-12-12'],['100'],['0']
['民航机场成都电子工程设计有限责任公司2022年校园招聘'],['2021-12-12'],['214'],['0']
['黄河科技学院招聘公告2021年黄河科技学院博士招聘公告'],['2021-12-11'],['94'],['0']
['成都纺织高等专科学校2022年人才招聘公告'],['2021-12-10'],['276'],['0']
['岭南现代农业科学与技术广东省实验室植物生殖发育和大豆种质资源创新团队招聘公告'],['2021-12-10'],['50'],['0']
['暨南大学附属第一医院最高年薪66万+招聘博士后'],['2021-12-10'],['58'],['0']
['中国科学院长春应用化学研究所2022年度招聘启事'],['2021-12-10'],['60'],['0']
['香港中文大学（深圳）诚聘海内外优秀人才'],['2021-12-10'],['62'],['0']
['沈阳城投集团2022年“麒麟担当”校园招聘'],['2021-12-10'],['46'],['0']
['南通大学电气工程学院诚聘海内外英才'],['2021-12-10'],['47'],['0']
['闽江学院2022下半年度硕士研究生岗位（编制内）招聘公告'],['2021-12-10'],['52'],['0']
['河北农业大学2021年选聘博士公告'],['2021-12-10'],['29'],['0']
['2022年石河子大学生命科学学院公开招聘教师简章'],['2021-12-10'],['39'],['0']
['南方科技大学电子系青年学者论坛·2022'],['2021-12-10'],['53'],['0']
['中科院微电子所低功耗智能芯片与系统团队多岗位招聘'],['2021-12-10'],['88'],['0']
['苏州臻芯微电子有限公司2022届校招职位信息'],['2021-12-10'],['69'],['0']
['贵州医科大学2021年面向全球招聘博士后公告'],['2021-12-09'],['59'],['0']
['中国热带农业科学院南亚热带作物研究所湛江站实验站2021年第六批博士研究生人员公开招聘公告'],['2021-12-09'],['49'],['0']
['重庆邮电大学2021-2022年招聘启事'],['2021-12-09'],['130'],['0']
['重庆工程学院2021年高层次人才招聘简章'],['2021-12-09'],['78'],['0']
['嘉应学院2021-2022年人才招聘启事'],['2021-12-09'],['54'],['0']
['厦门大学嘉庚学院2021-2022学年人才招聘启事'],['2021-12-09'],['49'],['0']
['深圳十沣科技2022届校园招聘'],['2021-12-09'],['56'],['0']
['材料科学姑苏实验室博士后招聘公告'],['2021-12-09'],['37'],['0']
['浙江大学王绪化团队招聘博士后和科研助理'],['2021-12-09'],['35'],['0']
['2022年战略支援部队驻南部某部队直接选拔 军官计划公告'],['2021-12-09'],['216'],['0']
['广东以色列理工学院招聘简章'],['2021-12-09'],['73'],['0']
['烟台先进材料与绿色制造山东省实验室2021年公开招聘工作人员简章'],['2021-12-09'],['65'],['0']
['国防大学军事文化学院2022年文职人员招聘预告'],['2021-12-09'],['93'],['0']
['多益网络2022届校园招聘补录'],['2021-12-08'],['104'],['0']
['浙大宁波理工学院计算机与数据工程学院2021年招聘公告'],['2021-12-08'],['70'],['0']
['广元市利州区关于2021年公开引进高层次和急需紧缺人才的公告'],['2021-12-08'],['150'],['0']
['【甘肃国企】金川集团面向电子科技大学秋季招聘信息'],['2021-12-08'],['83'],['0']
['苏州雄立科技有限公司2022届校园招聘'],['2021-12-08'],['63'],['0']
['中国科学院长春光学精密机械与物理研究所 博士毕业生专场招聘（暨空中宣讲）公告'],['2021-12-07'],['68'],['0']
['海军航空大学2022年面向社会公开招考文职人员'],['2021-12-07'],['128'],['0']
['海军航空大学2022年面向社会招考文职'],['2021-12-07'],['66'],['0']
['云南民族大学马克思主义学院2021年人才招聘公告'],['2021-12-07'],['56'],['0']
['中国科学院成都生物研究所2021年秋冬季博士人才线上视频双选会'],['2021-12-07'],['79'],['0']
['空军工程大学航空工程学院2022年全军面向社会公开招考文职人员岗位计划'],['2021-12-07'],['70'],['0']
['文职招聘'],['2021-12-07'],['102'],['0']
['江苏省东海县2022年部分事业单位赴高校公开招聘高层次人才公告'],['2021-12-07'],['50'],['0']
['大湾区之光，由你点亮！ ——深圳综合粒子设施研究院校园招聘公告'],['2021-12-07'],['97'],['0']
['闽江学院2021下半年度硕士研究生岗位 （编制内）招聘公告'],['2021-12-07'],['89'],['0']
['东北农业大学2021年下半年人才公开招聘公告'],['2021-12-07'],['54'],['0']
['闽南师范大学2021年诚纳英才'],['2021-12-07'],['54'],['0']
['南京工业大学第四届“探•智”国际青年学者论坛-电控学院分论坛诚邀海内外英才参加'],['2021-12-07'],['50'],['0']
['南方科技大学第一附属医院医药健康科研团队博士后、研究助理及科研秘书招聘'],['2021-12-07'],['32'],['0']
['安庆师范大学2021年公开招聘高层次人才公告'],['2021-12-07'],['49'],['0']
['烟台东方威思顿电气有限公司2022届校园招聘简章'],['2021-12-07'],['34'],['0']
['深圳大学食品科学与加工研究中心深圳大学吴奇院士团队招聘副研究员/研究员'],['2021-12-06'],['48'],['0']
['台州学院高等研究院大数据智能医疗研究所招聘启事'],['2021-12-06'],['45'],['0']
['山东省科学院海洋仪器仪表研究所齐鲁工业大学（山东省科学院）海洋技术科学学院招聘'],['2021-12-06'],['53'],['0']
['广州华夏职业学院2021年高层次人才招聘公告'],['2021-12-06'],['49'],['0']
['西南医科大学2021年诚聘海内外英才'],['2021-12-06'],['58'],['0']
['上海交通大学重庆研究院软件博士后招聘'],['2021-12-06'],['42'],['0']
['中国科学院微电子研究所低功耗智能芯片与系统团队招聘'],['2021-12-06'],['73'],['0']
['上海交通大学重庆研究院建筑遗产保护中心博士后招聘'],['2021-12-06'],['30'],['0']
['福建省某政法单位招考公告'],['2021-12-06'],['116'],['0']
['2021“智荟齐鲁”全球博士线上对接洽谈会诚邀海内外英才'],['2021-12-06'],['38'],['0']
['陆军装备部驻重庆地区军事代表局文职人员招聘'],['2021-12-06'],['229'],['0']
['战略支援部队某部招收军官和文职'],['2021-12-05'],['334'],['0']
['赓续百年初心，担当育人使命-青岛理工大学2021年公开招聘工作人员简章（长期招聘）'],['2021-12-05'],['79'],['0']
['科技引领 布局未来-清源创新实验室2021-2022年诚聘海内外人才'],['2021-12-05'],['87'],['0']
['百星微电子人才招聘公告'],['2021-12-05'],['63'],['0']
['“权威发布”国防科技大学2022年公开招考文职人员计划'],['2021-12-04'],['130'],['0']
['苏州经贸职业技术学院2021年诚聘人才'],['2021-12-04'],['80'],['0']
['成都市新都区悦动新城学校招聘'],['2021-12-03'],['201'],['0']
['福医引才 “医”路同行-福建医科大学博士师资招聘公告（常年有效）'],['2021-12-03'],['52'],['0']
['在浙里 职面未来-浙江建设职业技术学院2021年人才招聘公告'],['2021-12-03'],['66'],['0']
['2022年海军潜艇学院人才引进重磅来袭'],['2021-12-03'],['85'],['0']
['闽江学院2021下半年度硕士研究生岗位（编制内）招聘公告'],['2021-12-03'],['47'],['0']
['暨南大学附属第一医院最高年薪66万+招聘博士后'],['2021-12-03'],['30'],['0']
['（浙江）丽水学院2021年下半年人才招聘启事'],['2021-12-03'],['37'],['0']
['中国科学院长春应用化学研究所2021年度招聘启事'],['2021-12-03'],['29'],['0']
['香港中文大学（深圳）诚聘海内外优秀人才'],['2021-12-03'],['46'],['0']
['南通大学电气工程学院诚聘海内外英才'],['2021-12-03'],['41'],['0']
['河北农业大学2021年选聘博士公告'],['2021-12-03'],['33'],['0']
['天津工业生物技术研究所张玲玲课题组科研人员招聘启事'],['2021-12-03'],['29'],['0']
['重庆理工大学期刊社2021年招聘启事'],['2021-12-03'],['46'],['0']
